Yoshingiz,Ta'lim darajangiz,Jinsingiz,lottereya,Hozirda qaysi shahrda va davlatda yashayapsiz?,Davlatni parlament va saylovlar bilan hisoblashmaydigan kuchli davlat rahbari boshqaradigan tuzumga qanday qaraysiz?,"Hukumat emas, ekspertlar guruhi  davlatni boshqaradigan davlat tuzumiga qanday qaraysiz?",Harbiylar (ya'ni armiya) davlatni boshqaradigan davlat tuzumiga qanday qaraysiz?,Erkin va ochiq saylovlar orqali hukumat tepasiga keladigan rahbarlar boshqaradigan davlat tuzumiga qanday qaraysiz?,"Siyosiy partiylar bo'lmagan, Islomiy shariat asosida boshqariladigan davlat tuzumiga qanday qaraysiz?",Bitta partiya bilan boshqariladigan kommunist tuzumiga qanday qaraysiz?,"Rahbarlar emas, oddiy xalq muhim masalalarni ovoz berish yo'li bilan hal qiladigan davlat tuzumiga qanday qaraysiz?",Quyidagilardan qaysilarini demokratiyaning muhim xususiyatlari deb hisoblaysiz? Bir nechta variantni belgilang,Quyidagilardan qaysilarini demokratiyaning muhim xususiyati deb hisoblaysiz? Bir nechta variantni belgilang,Quyidagilardan qaysilarini demokratiyaning muhim xususiyati deb hisoblaysiz? Bir nechta variantni belgilang,5 yil oldingi O'zbekistonni qanchalik demokratik davlat deb hisoblaysiz?,Hozirgi O'zbekistonni qanchalik demokratik davlat deb hisoblaysiz?,Demokratik davlatda yashash Siz uchun qanchalik muhim?,"""O'zbekiston demokratik davlat bo'lishi kerak"". Bu fikrni qanchalik qo'llab-quvvatlaysiz?","""Davlat boshqaruvida Islom dini muhim ahamiyat kasb etishi kerak"". Bu fikrga qanday qaraysiz?"
34,3,Erkak,0,0,3,6,2,9,2,5,6,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",5,6,9,Qo'llab-quvvatlayman,5
23,2,Erkak,0,0,1,9,6,10,6,1,9,Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi",6,6,10,Qo'llab-quvvatlayman,8
23,2,Erkak,1,0,1,4,1,10,3,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",1,7,10,To'la qo'llab-quvvatlayman,2
33,3,Erkak,1,1,2,3,6,9,8,2,8,Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",5,4,10,Qo'llab-quvvatlayman,10
23,2,Erkak,0,0,1,2,2,9,1,1,8,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi,2,6,8,Qo'llab-quvvatlayman,7
29,2,Ayol,0,0,5,5,4,5,5,3,5,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Davlat Ishsizlarga moddiy yordam beradi,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Davlat barcha fuqarolarni ish bilan ta'minlaydi",5,5,5,Bu savolga neytral qarayman,7
28,2,Erkak,0,0,1,1,1,10,1,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,3,5,10,Qo'llab-quvvatlayman,1
29,3,Erkak,0,0,1,10,3,10,10,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,4,6,10,To'la qo'llab-quvvatlayman,10
39,3,Erkak,0,0,,,,,,,,,,,4,5,10,Qo'llab-quvvatlayman,1
28,2,Erkak,1,0,2,8,5,9,10,1,9,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Davlat boshqaruvni uddalay olmaganda harbiylar boshqaruvni o'z qo'liga olishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,2,5,10,To'la qo'llab-quvvatlayman,10
38,1,Erkak,0,0,3,8,3,10,10,1,10,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,3,9,7,Bu savolga neytral qarayman,10
27,3,Erkak,1,1,1,1,1,10,1,1,1,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,4,3,10,Qo'llab-quvvatlayman,1
26,2,Erkak,0,0,1,10,3,10,8,1,10,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",2,4,10,To'la qo'llab-quvvatlayman,8
26,3,Erkak,0,0,1,6,1,10,10,1,5,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",6,4,9,Qo'llab-quvvatlayman,10
35,2,Erkak,0,0,8,7,5,8,6,3,9,Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Davlat boshqaruvni uddalay olmaganda harbiylar boshqaruvni o'z qo'liga olishlari kerak,"Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",4,6,6,Bu savolga neytral qarayman,8
27,3,Erkak,0,0,2,2,1,10,1,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,1,2,10,To'la qo'llab-quvvatlayman,5
28,3,Ayol,1,1,1,5,1,10,1,1,10,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",3,6,10,To'la qo'llab-quvvatlayman,1
29,2,Erkak,1,1,2,5,1,10,1,1,10,Davlat Ishsizlarga moddiy yordam beradi,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",6,8,10,To'la qo'llab-quvvatlayman,6
26,2,Ayol,1,1,1,7,10,10,6,1,10,Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Odamlar fikrlarini erkin ifoda eta olishadi,7,7,10,To'la qo'llab-quvvatlayman,10
25,2,Erkak,0,0,5,10,1,5,1,1,1,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,3,5,8,Qo'llab-quvvatlayman,1
25,2,Erkak,0,0,1,7,3,10,5,3,8,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,5,7,10,To'la qo'llab-quvvatlayman,10
39,3,Erkak,0,0,4,5,2,10,6,3,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi",4,5,10,To'la qo'llab-quvvatlayman,10
25,2,Ayol,0,0,1,7,2,10,1,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Odamlar fikrlarini erkin ifoda eta olishadi,4,7,10,To'la qo'llab-quvvatlayman,2
24,1,Erkak,0,0,5,1,5,10,8,2,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,1,2,10,To'la qo'llab-quvvatlayman,10
34,2,Erkak,0,0,4,1,2,10,5,6,10,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,1,2,10,To'la qo'llab-quvvatlayman,10
33,2,Erkak,1,1,3,6,2,10,6,2,9,Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,3,5,9,Qo'llab-quvvatlayman,7
54,2,Erkak,1,1,1,7,1,10,5,2,2,Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",3,4,9,To'la qo'llab-quvvatlayman,10
23,3,Erkak,0,0,1,7,1,8,1,5,7,Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,4,4,9,Qo'llab-quvvatlayman,1
33,3,Erkak,0,0,2,6,1,10,5,1,6,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,2,4,8,Qo'llab-quvvatlayman,5
22,2,Erkak,0,0,3,3,3,10,3,3,3,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi,Davlat odamlar daromadlarini teng qilib qo'yishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Davlat barcha fuqarolarni ish bilan ta'minlaydi,5,7,8,To'la qo'llab-quvvatlayman,4
34,3,Ayol,0,0,2,2,2,9,4,4,6,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,7,7,10,Qo'llab-quvvatlayman,6
34,3,Erkak,0,0,1,8,1,10,1,1,10,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",1,3,10,To'la qo'llab-quvvatlayman,7
23,2,Erkak,1,1,2,7,2,10,2,3,5,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,5,4,10,Bu savolga neytral qarayman,5
44,2,Erkak,0,1,10,10,10,10,10,10,10,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Davlat Ishsizlarga moddiy yordam beradi,Davlat odamlar daromadlarini teng qilib qo'yishi kerak;Davlat boshqaruvni uddalay olmaganda harbiylar boshqaruvni o'z qo'liga olishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Davlat barcha fuqarolarni ish bilan ta'minlaydi",10,10,10,Qo'llab-quvvatlayman,10
23,2,Erkak,1,1,5,10,1,10,10,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",1,1,10,To'la qo'llab-quvvatlayman,10
67,3,Erkak,1,0,3,10,1,10,7,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",3,3,10,To'la qo'llab-quvvatlayman,7
23,3,Erkak,1,1,,,,,,,,,,,,,,,
34,2,Erkak,0,0,1,1,1,10,10,1,5,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,1,2,10,Qo'shilmayman,10
32,3,Erkak,0,0,7,10,3,8,7,7,7,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,8,9,10,To'la qo'llab-quvvatlayman,7
31,3,Erkak,1,1,6,3,2,10,6,3,10,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",3,5,9,Qo'llab-quvvatlayman,9
28,3,Erkak,1,1,1,4,1,10,1,1,7,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,2,3,10,Qo'llab-quvvatlayman,2
27,3,Erkak,0,0,5,6,4,9,10,3,8,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,5,7,9,Qo'llab-quvvatlayman,9
26,2,Erkak,0,0,2,4,3,9,6,1,8,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,3,4,9,To'la qo'llab-quvvatlayman,9
25,2,Erkak,0,0,1,1,1,1,10,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi,5,1,10,To'la qo'llab-quvvatlayman,10
24,1,Erkak,0,0,2,6,6,10,10,1,10,Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,6,6,10,Qo'llab-quvvatlayman,10
23,2,Erkak,1,1,6,6,1,10,6,4,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",6,5,8,Qo'llab-quvvatlayman,7
27,2,Erkak,0,0,8,5,8,1,9,7,8,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,1,2,9,To'la qo'llab-quvvatlayman,3
28,2,Erkak,1,1,1,1,1,10,1,1,5,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,2,6,10,Qo'llab-quvvatlayman,1
26,2,Erkak,1,1,1,7,1,10,10,1,8,Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",1,3,10,To'la qo'llab-quvvatlayman,10
28,3,Erkak,1,1,4,4,4,9,10,3,9,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi,5,6,8,Bu savolga neytral qarayman,10
44,1,Ayol,0,0,10,2,5,10,10,10,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi,Davlat odamlar daromadlarini teng qilib qo'yishi kerak,Odamlar fikrlarini erkin ifoda eta olishadi,10,,6,Qo'llab-quvvatlayman,10
47,2,Erkak,0,0,1,4,4,9,10,2,8,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi",4,3,9,To'la qo'llab-quvvatlayman,10
